DateKey,DepartmentKey,BedsAvailable,BedsOccupied,OccupancyRate
20240101,1,40,32,0.8
20240102,1,40,33,0.825
20240103,1,40,37,0.925
20240104,1,40,35,0.875
20240105,1,40,33,0.825
20240106,1,40,32,0.8
20240107,1,40,28,0.7
20240108,1,40,38,0.95
20240109,1,40,36,0.9
20240110,1,40,36,0.9
20240111,1,40,36,0.9
20240112,1,40,35,0.875
20240113,1,40,31,0.775
20240114,1,40,30,0.75
20240115,1,40,35,0.875
20240116,1,40,28,0.7
20240117,1,40,31,0.775
20240118,1,40,31,0.775
20240119,1,40,28,0.7
20240120,1,40,25,0.625
20240121,1,40,22,0.55
20240122,1,40,32,0.8
20240123,1,40,26,0.65
20240124,1,40,26,0.65
20240125,1,40,30,0.75
20240126,1,40,32,0.8
20240127,1,40,28,0.7
20240128,1,40,29,0.725
20240129,1,40,29,0.725
20240130,1,40,31,0.775
20240131,1,40,36,0.9
20240201,1,40,32,0.8
20240202,1,40,30,0.75
20240203,1,40,30,0.75
20240204,1,40,28,0.7
20240205,1,40,34,0.85
20240206,1,40,34,0.85
20240207,1,40,33,0.825
20240208,1,40,32,0.8
20240209,1,40,31,0.775
20240210,1,40,26,0.65
20240211,1,40,27,0.675
20240212,1,40,36,0.9
20240213,1,40,35,0.875
20240214,1,40,31,0.775
20240215,1,40,29,0.725
20240216,1,40,27,0.675
20240217,1,40,28,0.7
20240218,1,40,22,0.55
20240219,1,40,26,0.65
20240220,1,40,27,0.675
20240221,1,40,31,0.775
20240222,1,40,33,0.825
20240223,1,40,29,0.725
20240224,1,40,27,0.675
20240225,1,40,28,0.7
20240226,1,40,28,0.7
20240227,1,40,31,0.775
20240228,1,40,29,0.725
20240229,1,40,27,0.675
20240301,1,40,28,0.7
20240302,1,40,31,0.775
20240303,1,40,29,0.725
20240304,1,40,29,0.725
20240305,1,40,31,0.775
20240306,1,40,36,0.9
20240307,1,40,34,0.85
20240308,1,40,33,0.825
20240309,1,40,32,0.8
20240310,1,40,31,0.775
20240311,1,40,34,0.85
20240312,1,40,36,0.9
20240313,1,40,33,0.825
20240314,1,40,35,0.875
20240315,1,40,35,0.875
20240316,1,40,29,0.725
20240317,1,40,24,0.6
20240318,1,40,27,0.675
20240319,1,40,28,0.7
20240320,1,40,26,0.65
20240321,1,40,28,0.7
20240322,1,40,30,0.75
20240323,1,40,22,0.55
20240324,1,40,22,0.55
20240325,1,40,29,0.725
20240326,1,40,33,0.825
20240327,1,40,30,0.75
20240328,1,40,33,0.825
20240329,1,40,28,0.7
20240330,1,40,24,0.6
20240331,1,40,29,0.725
20240401,1,40,28,0.7
20240402,1,40,29,0.725
20240403,1,40,34,0.85
20240404,1,40,34,0.85
20240405,1,40,30,0.75
20240406,1,40,29,0.725
20240407,1,40,28,0.7
20240408,1,40,31,0.775
20240409,1,40,32,0.8
20240410,1,40,35,0.875
20240411,1,40,31,0.775
20240412,1,40,31,0.775
20240413,1,40,28,0.7
20240414,1,40,29,0.725
20240415,1,40,34,0.85
